rep	classifier	thisgene	distance	adm_time	adm_amount	sel_time	m2_s	m2freq_p1	m2freq_p3	start	end	num_alleles	meanp1	Dstat	fD	Het	divratioavg	Q_10_100_q95	Q_10_100_q90	Q_10_100_max	Q_1_100_q95	Q_1_100_q90	Q_1_100_max	U_10_0_100	U_10_20_100	U_10_50_100	U_10_80_100	U_1_0_100	U_1_20_100	U_1_50_100	U_1_80_100	p1_S	p2_S	p3_S	thetaW1	thetaW2	thetaW3	thetapi1	thetapi2	thetapi3	thetaH1	thetaH2	thetaH3	p1_H1	p1_H2	p1_H12	p1_H2H1	p2_H1	p2_H2	p2_H12	p2_H2H1	p3_H1	p3_H2	p3_H12	p3_H2H1	Zns1	Zns2	Zns3	
0	0	seg1	1831310.5	8730	0.02	48	0.0563668	1.0	0.79	4550001	4600000	35	0.1299482148886286	nan	0.0	2.48094961899238e-05	1.1149570982840076	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	17	21	0.5454545454545455	2.8945871646458183	3.5756664975036583	0.5	1.62643216080402	1.2466834170854266	0.16666666666666666	0.2228140703517588	1.1151256281407036	0.625	0.0625	1.0	0.1	0.15135	0.081125	0.25470000000000004	0.53600925008259	0.41864999999999986	0.04654999999999987	0.6687499999999998	0.1111907321151317	Nan	0.021925727845688532	0.02189890246179613	
0	0	seg1	1841310.5	8730	0.02	48	0.0563668	1.0	0.79	4560001	4610000	26	0.1299482148886286	nan	0.0	2.7691553831076624e-05	1.3906455862978138	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	13	14	0.5454545454545455	2.213507831787979	2.3837776650024387	0.5	1.0530150753768845	1.3915075376884423	0.16666666666666666	0.10276381909547738	1.1914070351758794	0.625	0.0625	1.0	0.1	0.27685	0.036750000000000005	0.39444999999999997	0.13274336283185842	0.2633999999999999	0.09117499999999992	0.4418499999999999	0.3461465451784357	Nan	0.018353365256617096	0.01400438292530568	
0	0	seg1	1851310.5	8730	0.02	48	0.0563668	1.0	0.79	4570001	4620000	23	0.1299482148886286	nan	0.0	1.7945358907178146e-05	0.8517613636363666	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	11	12	0.5454545454545455	1.872968165359059	2.043237998573519	0.5	0.7507035175879397	0.9017587939698494	0.16666666666666666	0.08346733668341709	0.19371859296482413	0.625	0.0625	1.0	0.1	0.40015	0.04015000000000002	0.5801499999999999	0.10033737348494319	0.31684999999999997	0.09122499999999997	0.5258499999999999	0.2879122613223922	Nan	0.019835624553178496	0.011285550711855781	
0	0	seg1	1861310.5	8730	0.02	48	0.0563668	1.0	0.79	4580001	4630000	25	0.1299482148886286	nan	0.0	1.9320386407728156e-05	0.5545614035087719	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	11	14	0.0	1.872968165359059	2.3837776650024387	0.0	0.5701507537688443	0.9708542713567841	0.0	0.052964824120603014	0.19497487437185929	1	0	1	0	0.53725	0.026025000000000076	0.75175	0.04844113541181959	0.2833	0.09407499999999999	0.47905	0.3320684786445464	Nan	0.037090745400350095	0.008281507615731805	
0	0	seg1	1871310.5	8730	0.02	48	0.0563668	1.0	0.79	4590001	4640000	30	0.1299482148886286	nan	0.0	3.71407428148563e-05	1.5033885819521169	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	13	18	0.5454545454545455	2.213507831787979	3.064856997860278	0.5	0.6860301507537689	1.8663316582914575	0.16666666666666666	0.05768844221105528	0.5457286432160804	0.625	0.0625	1.0	0.1	0.55755	0.02465000000000006	0.77655	0.0442112814994172	0.22464999999999996	0.09142499999999998	0.37794999999999995	0.4069663921655909	Nan	0.06138420674996528	0.026107340143603597	
0	0	seg1	1881310.5	8730	0.02	48	0.0563668	1.0	0.79	4600001	4650000	29	0.1299482148886286	nan	0.0	3.5453709074181486e-05	1.3313845973782668	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	13	17	0.5454545454545455	2.213507831787979	2.8945871646458183	0.5	0.8620100502512562	1.7815577889447238	0.16666666666666666	0.08271356783919598	0.5400502512562814	0.625	0.0625	1.0	0.1	0.5645000000000001	0.016900000000000137	0.7421000000000001	0.029937998228521053	0.2647499999999999	0.0883499999999999	0.4411499999999998	0.33371104815864	Nan	0.04984017636061899	0.031423733139008286	
0	0	seg1	1891310.5	8730	0.02	48	0.0563668	1.0	0.79	4610001	4660000	30	0.1299482148886286	nan	0.0	2.924258485169704e-05	1.1055462046205171	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	16	15	0.5454545454545455	2.7243173314313585	2.5540474982168986	0.5	1.0644723618090453	1.4694472361809043	0.16666666666666666	0.09130653266331658	0.4602010050251256	0.625	0.0625	1.0	0.1	0.4558499999999999	0.02024999999999988	0.61425	0.04442250740375098	0.4473	0.050399999999999945	0.7182	0.11267605633802805	Nan	0.035915484039568235	0.04728522547145067	
0	0	seg1	1901310.5	8730	0.02	48	0.0563668	1.0	0.79	4620001	4670000	32	0.1299482148886286	nan	0.0	3.137362747254946e-05	1.0475566218808392	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	19	14	0.5454545454545455	3.235126831074738	2.3837776650024387	0.5	1.7008040201005024	1.5765326633165828	0.16666666666666666	0.4700502512562814	0.8455778894472362	0.625	0.0625	1.0	0.1	0.2618999999999999	0.04567499999999988	0.4153499999999999	0.17439862542955287	0.31454999999999994	0.10294999999999993	0.56295	0.3272929581942456	Nan	0.03127104227362151	0.03742081442188113	
0	0	seg1	1911310.5	8730	0.02	48	0.0563668	1.0	0.79	4630001	4680000	29	0.1299482148886286	nan	0.0	3.0187603752075042e-05	0.9695247603832324	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	19	11	0.5454545454545455	3.235126831074738	1.872968165359059	0.5	2.0259296482412066	1.5169346733668343	0.16666666666666666	0.567035175879397	0.8448743718592965	0.625	0.0625	1.0	0.1	0.16209999999999988	0.07799999999999989	0.26939999999999986	0.48118445404071525	0.31999999999999995	0.10377499999999992	0.56645	0.3242968749999998	Nan	0.032058028402465986	0.03840571269424582	
0	0	seg1	1921310.5	8730	0.02	48	0.0563668	1.0	0.79	4640001	4690000	24	0.1299482148886286	nan	0.0	1.2564251285025703e-05	0.35733333333333755	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	17	7	0.0	2.8945871646458183	1.1918888325012194	0.0	1.9977386934673371	0.631356783919598	0.0	0.6253768844221106	0.4942713567839196	1	0	1	0	0.17964999999999995	0.08964999999999995	0.30865	0.4990258836626773	0.43809999999999993	0.21247499999999994	0.8751	0.4849920109564026	Nan	0.042169716661642424	0.003224697614638914	
